gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	Adipo	B cell	Basal	Endo	HormSens	LumProg	Monocyte/Inf mac	Neutrophil/Granulocyte	Proliferating immune	Stroma_0	Stroma_1	Stroma_2	Stroma_3	Stroma_4	T cell	Tissue-resident mac	cDC1
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CS0C04EA74D	GLS2	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.013	0.015	0.007	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CS0F46608E1	GLS2	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.013	0.015	0.007	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CS013047C58	GLS2	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.013	0.015	0.007	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CS03EEE6D2D	GLS2	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.013	0.015	0.007	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CC01450B2FA	GLS2	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.013	0.015	0.007	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CC0C4BEF4C8	GLS2	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.013	0.015	0.007	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CS0D9BFD8AF	GLS2	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.013	0.015	0.007	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CC0ACDCA68F	GLS2	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.013	0.015	0.007	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CC0FF085B8B	GLS2	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.013	0.015	0.007	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CS0A195F101	GLS2	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.013	0.015	0.007	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CC00939F2D1	GLS2	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.013	0.015	0.007	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CC0567FF312	GLS2	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.013	0.015	0.007	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CC064FD0FE9	GLS2	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.013	0.015	0.007	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CC04A0FDD1C	GLS2	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.013	0.015	0.007	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CC00F5F0266	GLS2	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.013	0.015	0.007	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CC00BFD8B11	GLS2	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.013	0.015	0.007	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CS0C7C7DD02	GLS2	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.013	0.015	0.007	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CS0554D19E3	GLS2	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.013	0.015	0.007	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CS0F106270D	GLS2	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.013	0.015	0.007	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CS09E87611A	GLS2	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.013	0.015	0.007	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A6	CPI-CS0270ABC42	GLS2	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.013	0.015	0.007	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CS03168613A	GLS2	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.015	0.0	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CS0141EF49C	GLS2	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.015	0.0	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CS0E9B87C01	GLS2	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.015	0.0	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CS0A2ACA19B	GLS2	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.015	0.0	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CC0B16C9C23	GLS2	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.015	0.0	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CC0EDF3084D	GLS2	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.015	0.0	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CS0AA5F0945	GLS2	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.015	0.0	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CC01CE8AC41	GLS2	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.015	0.0	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CC038267193	GLS2	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.015	0.0	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CS0687D7002	GLS2	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.015	0.0	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CC02227FA06	GLS2	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.015	0.0	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CC015FAF28E	GLS2	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.015	0.0	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CC068956044	GLS2	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.015	0.0	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CC02DBB58E9	GLS2	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.015	0.0	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CC0F83E11EB	GLS2	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.015	0.0	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CC0D299DB74	GLS2	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.015	0.0	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CS0AF8F897B	GLS2	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.015	0.0	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CS0F4182DEF	GLS2	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.015	0.0	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CS03B7CB71D	GLS2	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.015	0.0	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CS083EC4342	GLS2	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.015	0.0	0.0	0.0	0.0	0.0
GLS2	Q9UI32	True	GLSL_HUMAN	Glutamate_byGLS2_and_SLC1A7	CPI-CS0180815DB	GLS2	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.015	0.0	0.0	0.0	0.0	0.0
SLC6A9	P48067	True	SC6A9_HUMAN	Glycine_bySHMT1_and_SLC6A9	CPI-CC038A555FC	SLC6A9	0.014	0.026	0.03	0.0	0.044	0.014	0.0	0.0	0.0	0.006	0.029	0.014	0.018	0.018	0.006	0.005	0.0
SLC6A9	P48067	True	SC6A9_HUMAN	Glycine_bySHMT2_and_SLC6A9	CPI-CC00045ECF5	SLC6A9	0.014	0.0	0.035	0.0	0.044	0.014	0.0	0.0	0.0	0.025	0.05	0.023	0.018	0.031	0.006	0.005	0.0
SHMT1	P34896	True	GLYC_HUMAN	Glycine_bySHMT1_and_SLC6A9	CPI-CC038A555FC	SHMT1	0.014	0.026	0.03	0.0	0.044	0.014	0.0	0.0	0.0	0.006	0.029	0.014	0.018	0.018	0.006	0.005	0.0
SHMT2	P34897	True	GLYM_HUMAN	Glycine_bySHMT2_and_SLC6A9	CPI-CC00045ECF5	SHMT2	0.014	0.0	0.035	0.0	0.044	0.014	0.0	0.0	0.0	0.025	0.05	0.023	0.018	0.031	0.006	0.005	0.0
PTGDS	P41222	True	PTGDS_HUMAN	PGD2_byPTGDS	CPI-CS0FADCFDB9	PTGDS	0.002	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.002	0.0	0.0	0.0	0.0
TENM2	Q9NT68	True	TEN2_HUMAN	TENM2_FLRT1_complex	CPI-CS007F1C612	TENM2	0.037	0.012	0.04	0.009	0.021	0.033	0.006	0.0	0.024	0.013	0.006	0.009	0.003	0.008	0.009	0.02	0.0
TENM2	Q9NT68	True	TEN2_HUMAN	TENM2_FLRT3_complex	CPI-CS04534E61E	TENM2	0.037	0.0	0.087	0.023	0.058	0.033	0.017	0.0	0.0	0.041	0.043	0.04	0.017	0.065	0.013	0.004	0.0
TENM2	Q9NT68	True	TEN2_HUMAN	TENM2_FLRT3_complex	CPI-CS049AAD8F5	TENM2	0.037	0.0	0.087	0.023	0.058	0.033	0.017	0.0	0.0	0.041	0.043	0.04	0.017	0.065	0.013	0.004	0.0
FLRT1	Q9NZU1	True	FLRT1_HUMAN	TENM2_FLRT1_complex	CPI-CS007F1C612	FLRT1	0.037	0.012	0.04	0.009	0.021	0.033	0.006	0.0	0.024	0.013	0.006	0.009	0.003	0.008	0.009	0.02	0.0
FLRT1	Q9NZU1	True	FLRT1_HUMAN	TENM3_FLRT1_complex	CPI-CS059C42E4B	FLRT1	0.021	0.012	0.04	0.009	0.021	0.022	0.006	0.0	0.0	0.013	0.006	0.009	0.003	0.008	0.009	0.02	0.0
FLRT1	Q9NZU1	True	FLRT1_HUMAN	TENM4_FLRT1_complex	CPI-CS0C8B4ED97	FLRT1	0.056	0.012	0.04	0.009	0.021	0.043	0.006	0.0	0.024	0.013	0.006	0.009	0.003	0.008	0.009	0.02	0.0
FLRT3	Q9NZU0	True	FLRT3_HUMAN	TENM2_FLRT3_complex	CPI-CS04534E61E	FLRT3	0.037	0.0	0.087	0.023	0.058	0.033	0.017	0.0	0.0	0.041	0.043	0.04	0.017	0.065	0.013	0.004	0.0
FLRT3	Q9NZU0	True	FLRT3_HUMAN	TENM2_FLRT3_complex	CPI-CS049AAD8F5	FLRT3	0.037	0.0	0.087	0.023	0.058	0.033	0.017	0.0	0.0	0.041	0.043	0.04	0.017	0.065	0.013	0.004	0.0
FLRT3	Q9NZU0	True	FLRT3_HUMAN	TENM3_FLRT3_complex	CPI-CS0D62B1695	FLRT3	0.021	0.0	0.087	0.023	0.038	0.022	0.017	0.0	0.0	0.066	0.043	0.105	0.094	0.088	0.013	0.004	0.0
FLRT3	Q9NZU0	True	FLRT3_HUMAN	TENM4_FLRT3_complex	CPI-CS0B24464AF	FLRT3	0.037	0.0	0.087	0.023	0.063	0.199	0.017	0.0	0.0	0.118	0.043	0.105	0.094	0.088	0.013	0.004	0.0
TENM3	Q9P273	True	TEN3_HUMAN	TENM3_FLRT1_complex	CPI-CS059C42E4B	TENM3	0.021	0.012	0.04	0.009	0.021	0.022	0.006	0.0	0.0	0.013	0.006	0.009	0.003	0.008	0.009	0.02	0.0
TENM3	Q9P273	True	TEN3_HUMAN	TENM3_FLRT3_complex	CPI-CS0D62B1695	TENM3	0.021	0.0	0.087	0.023	0.038	0.022	0.017	0.0	0.0	0.066	0.043	0.105	0.094	0.088	0.013	0.004	0.0
TENM4	Q6N022	True	TEN4_HUMAN	TENM4_FLRT1_complex	CPI-CS0C8B4ED97	TENM4	0.056	0.012	0.04	0.009	0.021	0.043	0.006	0.0	0.024	0.013	0.006	0.009	0.003	0.008	0.009	0.02	0.0
TENM4	Q6N022	True	TEN4_HUMAN	TENM4_FLRT3_complex	CPI-CS0B24464AF	TENM4	0.037	0.0	0.087	0.023	0.063	0.199	0.017	0.0	0.0	0.118	0.043	0.105	0.094	0.088	0.013	0.004	0.0
CDH1	P12830	False	CADH1_HUMAN		CPI-SC0A2DB962D	CDH1	0.043	0.074	0.309	0.029	1.412	1.128	0.02	0.0	0.042	0.019	0.028	0.024	0.024	0.061	0.165	0.014	0.0
COL11A1	P12107	False	COBA1_HUMAN		CPI-SC0C8B7BCBB	COL11A1	0.008	0.048	0.429	0.002	0.0	0.208	0.02	0.0	0.0	0.011	0.0	0.0	0.03	0.014	0.0	0.028	0.0
COL11A2	P13942	False	COBA2_HUMAN		CPI-SC0D3C12C3F	COL11A2	0.017	0.058	0.006	0.015	0.02	0.002	0.0	0.0	0.0	0.009	0.014	0.031	0.012	0.0	0.019	0.0	0.0
COL12A1	Q99715	False	COCA1_HUMAN		CPI-SC0B86B7CED	COL12A1	0.092	0.013	0.295	0.031	0.0	0.072	0.045	0.0	0.04	0.118	0.046	0.083	0.15	0.085	0.037	0.013	0.0
COL13A1	Q5TAT6	False	CODA1_HUMAN		CPI-SC0FA343CEF	COL13A1	0.007	0.0	0.018	0.045	0.008	0.006	0.011	0.0	0.0	0.006	0.018	0.012	0.351	0.013	0.0	0.002	0.0
COL14A1	Q05707	False	COEA1_HUMAN		CPI-SC0CCCF9A7F	COL14A1	0.064	0.544	0.838	0.098	0.03	0.068	0.112	0.036	0.078	1.749	0.717	0.469	0.397	0.886	0.078	0.061	0.083
COL15A1	P39059	False	COFA1_HUMAN		CPI-SC0E85E1FB0	COL15A1	0.429	0.226	0.062	0.122	0.044	0.035	0.121	0.173	0.064	0.083	0.117	0.784	0.958	0.498	0.104	0.048	0.0
COL16A1	Q07092	False	COGA1_HUMAN		CPI-SC0956F4A31	COL16A1	0.043	0.068	1.287	0.047	0.1	0.148	0.065	0.0	0.145	0.218	0.236	0.168	0.259	0.273	0.056	0.026	0.0
COL17A1	Q9UMD9	False	COHA1_HUMAN		CPI-SC06EEEC092	COL17A1	0.013	0.016	0.625	0.004	0.048	0.014	0.006	0.0	0.0	0.012	0.007	0.004	0.008	0.0	0.017	0.002	0.047
COL18A1	P39060	False	COIA1_HUMAN		CPI-SC04BD52124	COL18A1	0.125	0.061	0.379	0.134	0.01	0.033	0.026	0.0	0.0	0.104	0.108	0.384	0.689	0.115	0.014	0.009	0.0
COL19A1	Q14993	False	COJA1_HUMAN		CPI-SC0BDD04147	COL19A1	0.002	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.011	0.0	0.0	0.0	0.0	0.007	0.0
COL1A1	P02452	False	CO1A1_HUMAN		CPI-SC04BCFC59C	COL1A1	0.179	0.06	0.137	0.265	0.208	0.118	0.23	0.065	0.235	1.27	1.158	1.525	1.578	1.36	0.164	0.164	0.137
COL1A2	P08123	False	CO1A2_HUMAN		CPI-SC03D0A4AD2	COL1A2	0.229	0.363	0.211	0.273	0.175	0.164	0.301	0.246	0.218	2.078	1.794	2.224	2.464	2.051	0.415	0.22	0.451
COL20A1	Q9P218	False	COKA1_HUMAN		CPI-SC0D5DDAD29	COL20A1	0.074	0.033	0.036	0.04	0.06	0.096	0.033	0.063	0.075	0.049	0.052	0.131	0.12	0.129	0.057	0.048	0.046
COL26A1	Q96A83	False	COQA1_HUMAN		CPI-SC0F179D307	COL26A1	0.001	0.0	0.0	0.007	0.004	0.002	0.0	0.0	0.0	0.004	0.005	0.0	0.02	0.0	0.0	0.0	0.0
COL27A1	Q8IZC6	False	CORA1_HUMAN		CPI-SC044C2FDA4	COL27A1	0.036	0.284	0.058	0.021	0.019	0.012	0.026	0.0	0.0	0.1	0.083	0.48	0.876	0.133	0.017	0.016	0.166
COL28A1	Q2UY09	False	COSA1_HUMAN		CPI-SC04251A46C	COL28A1	0.005	0.0	0.002	0.23	0.011	0.021	0.015	0.051	0.0	0.027	0.029	0.018	0.048	0.047	0.015	0.0	0.0
COL2A1	P02458	False	CO2A1_HUMAN		CPI-SC09C62F412	COL2A1	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.006	0.0	0.0	0.0	0.0	0.0
COL3A1	P02461	False	CO3A1_HUMAN		CPI-SC06A152CC0	COL3A1	0.527	0.368	0.412	0.448	0.303	0.266	0.374	0.667	0.279	2.515	1.91	2.932	2.943	2.24	0.484	0.38	0.706
COL4A1	P02462	False	CO4A1_HUMAN		CPI-SC03515B178	COL4A1	0.918	0.175	1.173	0.823	0.13	0.233	0.239	0.313	0.117	0.478	0.422	1.27	1.305	1.124	0.201	0.111	0.104
COL4A2	P08572	False	CO4A2_HUMAN		CPI-SC046604E76	COL4A2	0.921	0.177	1.341	0.788	0.11	0.23	0.232	0.11	0.243	0.415	0.408	1.103	1.194	0.704	0.163	0.144	0.125
COL4A3	Q01955	False	CO4A3_HUMAN		CPI-SC0926FDACC	COL4A3	0.013	0.0	0.009	0.009	0.0	0.007	0.008	0.0	0.0	0.019	0.016	0.042	0.024	0.228	0.006	0.005	0.0
COL4A4	P53420	False	CO4A4_HUMAN		CPI-SC072376C7B	COL4A4	0.014	0.0	0.008	0.0	0.056	0.023	0.014	0.027	0.0	0.13	0.07	0.099	0.074	0.374	0.006	0.002	0.015
COL4A5	P29400	False	CO4A5_HUMAN		CPI-SC0C287AFC3	COL4A5	0.081	0.058	1.429	0.083	0.555	1.476	0.009	0.04	0.108	0.356	0.12	0.146	0.085	0.233	0.1	0.053	0.057
COL4A6	Q14031	False	CO4A6_HUMAN		CPI-SC0FDD31EAB	COL4A6	0.072	0.144	2.124	0.132	0.287	1.654	0.073	0.04	0.0	0.072	0.062	0.054	0.067	0.087	0.066	0.071	0.0
COL5A1	P20908	False	CO5A1_HUMAN		CPI-SC0681DB40E	COL5A1	0.199	0.112	0.256	0.08	0.077	0.065	0.085	0.082	0.108	1.293	0.949	1.107	1.096	0.944	0.104	0.06	0.035
COL5A2	P05997	False	CO5A2_HUMAN		CPI-SC0345262E7	COL5A2	0.407	0.201	0.757	0.309	0.106	0.122	0.289	0.515	0.159	1.916	1.02	2.467	2.617	1.934	0.294	0.143	0.307
COL5A3	P25940	False	CO5A3_HUMAN		CPI-SC0D5418330	COL5A3	0.205	0.103	0.097	0.102	0.059	0.056	0.141	0.067	0.186	0.811	0.766	1.647	1.225	0.574	0.129	0.057	0.122
COL6A1	P12109	False	CO6A1_HUMAN		CPI-SC0CCB0D955	COL6A1	0.081	0.037	0.066	0.075	0.044	0.045	0.051	0.0	0.0	0.606	0.5	0.816	0.669	0.701	0.067	0.066	0.142
COL6A2	P12110	False	CO6A2_HUMAN		CPI-SC01A5C5096	COL6A2	0.058	0.065	0.049	0.049	0.023	0.031	0.02	0.039	0.0	0.419	0.354	0.661	0.664	0.651	0.031	0.042	0.035
COL6A3	P12111	False	CO6A3_HUMAN		CPI-SC084C79E20	COL6A3	0.192	0.115	0.101	0.073	0.436	0.082	0.084	0.092	0.108	1.381	1.055	1.549	1.384	1.216	0.102	0.074	0.161
COL6A5	A8TX70	False	CO6A5_HUMAN		CPI-SC0A6F94686	COL6A5	0.001	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.013	0.0	0.0	0.0	0.0	0.0	0.0
COL6A6	A6NMZ7	False	CO6A6_HUMAN		CPI-SC00D0AFED0	COL6A6	0.005	0.0	0.08	0.01	0.03	0.018	0.017	0.0	0.0	0.182	0.089	0.138	0.159	0.092	0.01	0.008	0.0
COL8A1	P27658	False	CO8A1_HUMAN		CPI-SC0B3564B15	COL8A1	0.012	0.0	0.01	0.245	1.432	0.014	0.0	0.0	0.0	0.016	0.025	0.014	0.013	0.051	0.015	0.0	0.0
COL8A2	P25067	False	CO8A2_HUMAN		CPI-SC0F94B7D8F	COL8A2	0.001	0.0	0.011	0.0	0.023	0.004	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.049	0.0	0.0
COL9A1	P20849	False	CO9A1_HUMAN		CPI-SC00065C95C	COL9A1	0.003	0.0	0.047	0.0	0.0	0.118	0.013	0.0	0.0	0.0	0.0	0.008	0.003	0.0	0.014	0.006	0.0
COL9A2	Q14055	False	CO9A2_HUMAN		CPI-SC0A916E0E2	COL9A2	0.011	0.0	0.264	0.012	0.05	0.079	0.025	0.0	0.086	0.008	0.014	0.008	0.009	0.0	0.031	0.0	0.06
FN1	P02751	False	FINC_HUMAN		CPI-SC01D1C56CC	FN1	0.163	0.274	0.171	0.274	0.151	0.158	2.028	0.54	0.656	2.083	1.311	1.154	1.769	0.789	0.146	0.159	0.252
LAMC1	P11047	False	LAMC1_HUMAN		CPI-SC0A460766C	LAMC1	1.025	0.379	1.128	0.748	0.704	0.464	0.285	0.39	0.214	2.027	1.03	1.637	1.608	1.445	0.311	0.326	0.215
CDH1	P12830	False	CADH1_HUMAN		CPI-SC09D882C18	CDH1	0.043	0.074	0.309	0.029	1.412	1.128	0.02	0.0	0.042	0.019	0.028	0.024	0.024	0.061	0.165	0.014	0.0
CDH1	P12830	False	CADH1_HUMAN		CPI-SS0CC5DCE80	CDH1	0.043	0.074	0.309	0.029	1.412	1.128	0.02	0.0	0.042	0.019	0.028	0.024	0.024	0.061	0.165	0.014	0.0
CDH2	P19022	False	CADH2_HUMAN		CPI-SS0EE09A201	CDH2	0.046	0.009	0.163	0.008	0.006	0.007	0.026	0.0	0.0	0.095	0.047	0.063	0.029	0.213	0.0	0.013	0.0
CDH2	P19022	False	CADH2_HUMAN		CPI-SS0ADFF0666	CDH2	0.046	0.009	0.163	0.008	0.006	0.007	0.026	0.0	0.0	0.095	0.047	0.063	0.029	0.213	0.0	0.013	0.0
CDH3	P22223	False	CADH3_HUMAN		CPI-SS0DA0F5556	CDH3	0.011	0.016	1.081	0.01	0.041	0.015	0.0	0.0	0.0	0.01	0.017	0.008	0.006	0.0	0.033	0.003	0.0
CDH5	P33151	False	CADH5_HUMAN		CPI-SS00C24ED50	CDH5	0.008	0.019	0.016	1.166	0.0	0.012	0.018	0.042	0.0	0.015	0.0	0.018	0.003	0.056	0.009	0.021	0.07
CDH6	P55285	False	CADH6_HUMAN		CPI-SS0C53F7672	CDH6	0.004	0.0	0.195	0.009	0.0	0.004	0.0	0.0	0.0	0.0	0.009	0.0	0.006	0.0	0.014	0.008	0.035
CDH7	Q9ULB5	False	CADH7_HUMAN		CPI-SS0BE3D537D	CDH7	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	CADM1	0.125	2.722	1.208	0.178	0.114	1.21	0.165	0.129	0.469	0.045	0.078	0.02	0.075	0.064	0.089	0.122	2.238
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS09C06644C	CADM3	0.009	0.007	0.021	0.02	0.005	0.007	0.021	0.0	0.0	0.549	0.202	0.044	0.031	0.216	0.022	0.023	0.0
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	CRTAM	0.0	0.0	0.004	0.0	0.0	0.002	0.027	0.0	0.055	0.0	0.0	0.0	0.002	0.0	0.11	0.004	0.035
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0B990492C	CADM1	0.125	2.722	1.208	0.178	0.114	1.21	0.165	0.129	0.469	0.045	0.078	0.02	0.075	0.064	0.089	0.122	2.238
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS00550260E	CADM3	0.009	0.007	0.021	0.02	0.005	0.007	0.021	0.0	0.0	0.549	0.202	0.044	0.031	0.216	0.022	0.023	0.0
