source	target	weight
GO:0030855	GO:0030856	0.337209302325581
GO:0001906	GO:0001909	0.772727272727273
GO:0098609	GO:0030155	0.492146596858639
GO:0001906	GO:0042267	0.545454545454545
GO:0001909	GO:0042267	0.705882352941177
GO:0030879	GO:0001763	0.274193548387097
GO:0030198	GO:0045229	1
GO:0001763	GO:0048729	0.465909090909091
GO:0050900	GO:0040017	0.258620689655172
GO:0050900	GO:0002685	0.560606060606061
GO:0040017	GO:2000147	0.841463414634146
GO:0034330	GO:0034329	0.528301886792453
GO:0001906	GO:0001910	0.545454545454545
GO:0001909	GO:0001910	0.705882352941177
GO:0042267	GO:0001910	0.714285714285714
GO:0001906	GO:0042269	0.454545454545455
GO:0001909	GO:0042269	0.588235294117647
GO:0042267	GO:0042269	0.833333333333333
GO:0001910	GO:0042269	0.833333333333333
GO:0032623	GO:0032663	0.8
GO:0006631	GO:0019216	0.284403669724771
GO:0009617	GO:0033993	0.263473053892216
GO:0001906	GO:0031341	0.590909090909091
GO:0001909	GO:0031341	0.714285714285714
GO:0042267	GO:0031341	0.666666666666667
GO:0001910	GO:0031341	0.923076923076923
GO:0042269	GO:0031341	0.769230769230769
GO:0030855	GO:0008544	0.27
GO:0001906	GO:0002449	0.421052631578947
GO:0001909	GO:0002449	0.441176470588235
GO:0042267	GO:0002449	0.375
GO:0001910	GO:0002449	0.313432835820896
GO:0042269	GO:0002449	0.3125
GO:0031341	GO:0002449	0.323529411764706
GO:0002685	GO:0002548	0.255813953488372
GO:0006084	GO:0035383	0.565217391304348
GO:0006954	GO:0031347	0.386243386243386
GO:0048729	GO:0060485	0.263157894736842
GO:0006119	GO:0009060	0.836363636363636
GO:0030879	GO:0007589	0.256410256410256
GO:0001906	GO:0002708	0.322033898305085
GO:0001909	GO:0002708	0.36
GO:0042267	GO:0002708	0.414634146341463
GO:0001910	GO:0002708	0.414634146341463
GO:0042269	GO:0002708	0.45945945945946
GO:0031341	GO:0002708	0.395348837209302
GO:0002449	GO:0002708	0.53125
GO:0032890	GO:0015908	0.346153846153846
GO:0061061	GO:0060537	0.548076923076923
GO:0030036	GO:0030029	0.934782608695652
GO:2000291	GO:0051450	0.5
GO:0031347	GO:0002683	0.310734463276836
GO:0001656	GO:0072080	0.257142857142857
GO:0006954	GO:0032103	0.26063829787234
GO:0031347	GO:0032103	0.598684210526316
GO:0030155	GO:0031589	0.294117647058824
GO:0030879	GO:0007595	0.303030303030303
GO:0007589	GO:0007595	0.625
GO:0006084	GO:0035384	0.5625
GO:0035383	GO:0035384	0.458333333333333
GO:0006084	GO:0071616	0.5625
GO:0035383	GO:0071616	0.458333333333333
GO:0035384	GO:0071616	1
GO:0032310	GO:0015732	1
GO:0001906	GO:0030101	0.280701754385965
GO:0001909	GO:0030101	0.340425531914894
GO:0042267	GO:0030101	0.394736842105263
GO:0001910	GO:0030101	0.261904761904762
GO:0042269	GO:0030101	0.289473684210526
GO:0006631	GO:0034440	0.324324324324324
GO:0034330	GO:1901888	0.298969072164948
GO:0034329	GO:1901888	0.446153846153846
GO:0006631	GO:0044283	0.319672131147541
GO:0098609	GO:0042110	0.319148936170213
GO:0030155	GO:0042110	0.339080459770115
GO:0141060	GO:0031640	0.923076923076923
GO:0141060	GO:0141061	0.923076923076923
GO:0031640	GO:0141061	1
GO:0035272	GO:0060445	0.692307692307692
GO:0002449	GO:0002456	0.46875
GO:0002708	GO:0002456	0.333333333333333
GO:0050900	GO:0006935	0.412371134020619
GO:0040017	GO:0006935	0.260162601626016
GO:0002685	GO:0006935	0.28735632183908
GO:0050900	GO:0042330	0.412371134020619
GO:0040017	GO:0042330	0.260162601626016
GO:0002685	GO:0042330	0.28735632183908
GO:0006935	GO:0042330	1
GO:0098609	GO:0050870	0.28
GO:0030155	GO:0050870	0.311111111111111
GO:0042110	GO:0050870	0.428571428571429
GO:0002685	GO:0002690	0.307692307692308
GO:0002548	GO:0002690	0.285714285714286
GO:0048729	GO:0048598	0.296875
GO:0048568	GO:0048598	0.57
