source	target	weight
GO:0002252	GO:0050778	0.395061728395062
GO:0002252	GO:0050867	0.296774193548387
GO:0002521	GO:0050867	0.273255813953488
GO:0050900	GO:0006935	0.384615384615385
GO:0050900	GO:0042330	0.384615384615385
GO:0006935	GO:0042330	1
GO:0006954	GO:0031347	0.431818181818182
GO:0002252	GO:0031347	0.252475247524752
GO:0050778	GO:0031347	0.345945945945946
GO:0009617	GO:0031347	0.254901960784314
GO:0002252	GO:0046649	0.417647058823529
GO:0050778	GO:0046649	0.281081081081081
GO:0002521	GO:0046649	0.4
GO:0050867	GO:0046649	0.413333333333333
GO:0002252	GO:0001819	0.254545454545455
GO:0050778	GO:0001819	0.326797385620915
GO:0031347	GO:0001819	0.270718232044199
GO:0002252	GO:0002250	0.436619718309859
GO:0050778	GO:0002250	0.333333333333333
GO:0050867	GO:0002250	0.286764705882353
GO:0046649	GO:0002250	0.319018404907975
GO:0050867	GO:1903039	0.451612903225806
GO:0046649	GO:1903039	0.33587786259542
GO:0002252	GO:0007159	0.275862068965517
GO:0050867	GO:0007159	0.380530973451327
GO:0046649	GO:0007159	0.430656934306569
GO:1903039	GO:0007159	0.7
GO:0050900	GO:0071621	0.347368421052632
GO:0006935	GO:0071621	0.388235294117647
GO:0042330	GO:0071621	0.388235294117647
GO:0002252	GO:0002697	0.608695652173913
GO:0050778	GO:0002697	0.392307692307692
GO:0050867	GO:0002697	0.3
GO:0031347	GO:0002697	0.276073619631902
GO:0046649	GO:0002697	0.333333333333333
GO:0001819	GO:0002697	0.265625
GO:0002250	GO:0002697	0.325
GO:0007159	GO:0002697	0.346153846153846
GO:0050867	GO:0050870	0.488372093023256
GO:0046649	GO:0050870	0.333333333333333
GO:1903039	GO:0050870	0.857142857142857
GO:0007159	GO:0050870	0.6
GO:0050900	GO:0002685	0.598039215686274
GO:0006935	GO:0002685	0.254098360655738
GO:0042330	GO:0002685	0.254098360655738
GO:0051336	GO:0051345	0.591194968553459
GO:0051336	GO:0052547	0.446540880503145
GO:0051345	GO:0052547	0.299212598425197
GO:0002252	GO:0002263	0.458333333333333
GO:0046649	GO:0002263	0.338129496402878
GO:0002250	GO:0002263	0.26271186440678
GO:0002697	GO:0002263	0.313131313131313
GO:0022613	GO:0006364	0.48062015503876
GO:0006954	GO:0032103	0.288372093023256
GO:0050778	GO:0032103	0.425675675675676
GO:0006935	GO:0032103	0.275862068965517
GO:0042330	GO:0032103	0.275862068965517
GO:0031347	GO:0032103	0.451219512195122
GO:0001819	GO:0032103	0.342657342657343
GO:0050804	GO:0007268	0.85981308411215
GO:0050804	GO:0098916	0.85981308411215
GO:0007268	GO:0098916	1
GO:0052547	GO:0010466	0.52112676056338
GO:1903039	GO:0045580	0.333333333333333
GO:0007159	GO:0045580	0.310810810810811
GO:0050870	GO:0045580	0.38
GO:0032635	GO:0032675	0.945454545454545
GO:0051336	GO:0051346	0.320754716981132
GO:0052547	GO:0051346	0.418604651162791
GO:0010466	GO:0051346	0.692307692307692
GO:0050878	GO:0050817	0.6
GO:0050867	GO:0070665	0.411111111111111
GO:0046649	GO:0070665	0.255639097744361
GO:1903039	GO:0070665	0.363636363636364
GO:0007159	GO:0070665	0.290697674418605
GO:0050870	GO:0070665	0.406779661016949
GO:0002697	GO:0001906	0.307692307692308
GO:0050778	GO:0045088	0.439024390243902
GO:0031347	GO:0045088	0.478260869565217
GO:0001819	GO:0045088	0.264
GO:0002697	GO:0045088	0.307692307692308
GO:0032103	GO:0045088	0.443478260869565
GO:0002252	GO:0002831	0.251612903225806
GO:0050778	GO:0002831	0.397058823529412
GO:0031347	GO:0002831	0.528169014084507
GO:0001819	GO:0002831	0.266666666666667
GO:0002697	GO:0002831	0.31858407079646
GO:0032103	GO:0002831	0.432
GO:0045088	GO:0002831	0.835443037974684
GO:0050878	GO:0007596	0.6
GO:0050817	GO:0007596	1
GO:0002252	GO:0070661	0.299270072992701
GO:0050867	GO:0070661	0.330357142857143
GO:0046649	GO:0070661	0.442748091603053
GO:1903039	GO:0070661	0.333333333333333
GO:0007159	GO:0070661	0.43010752688172
GO:0002697	GO:0070661	0.316831683168317
GO:0050870	GO:0070661	0.329113924050633
GO:0002263	GO:0070661	0.28125
GO:0070665	GO:0070661	0.507246376811594
GO:0002697	GO:0001909	0.277777777777778
GO:0001906	GO:0001909	0.6875
GO:0051345	GO:2001056	0.276595744680851
GO:0052547	GO:2001056	0.366197183098592
GO:0140972	GO:2001056	0.346153846153846
GO:0002263	GO:0043299	0.316666666666667
GO:0050900	GO:0050920	0.316666666666667
GO:0006935	GO:0050920	0.39622641509434
GO:0042330	GO:0050920	0.39622641509434
GO:0002685	GO:0050920	0.43956043956044
GO:0002252	GO:0046651	0.283582089552239
GO:0050867	GO:0046651	0.336448598130841
GO:0046649	GO:0046651	0.452380952380952
GO:1903039	GO:0046651	0.358974358974359
GO:0007159	GO:0046651	0.443181818181818
GO:0002697	GO:0046651	0.322916666666667
GO:0050870	GO:0046651	0.356164383561644
GO:0002263	GO:0046651	0.271739130434783
GO:0070665	GO:0046651	0.507692307692308
GO:0070661	GO:0046651	0.904761904761905
GO:0043410	GO:0010562	0.278409090909091
GO:0050731	GO:0010562	0.314516129032258
GO:0043410	GO:0045937	0.278409090909091
GO:0050731	GO:0045937	0.314516129032258
GO:0010562	GO:0045937	1
GO:0140972	GO:0141084	0.6
GO:2001056	GO:0141084	0.32258064516129
GO:0030001	GO:0097553	0.284552845528455
GO:0022613	GO:0016072	0.459259259259259
GO:0006364	GO:0016072	0.915492957746479
GO:0006911	GO:0099024	0.95
GO:0002697	GO:0031341	0.285714285714286
GO:0001906	GO:0031341	0.529411764705882
GO:0001909	GO:0031341	0.615384615384615
GO:0042692	GO:0061061	0.533333333333333
GO:0061448	GO:0001501	0.446428571428571
GO:0002252	GO:0016064	0.278260869565217
GO:0002250	GO:0016064	0.359550561797753
GO:0006959	GO:0016064	0.254545454545455
GO:0002521	GO:0010720	0.267045454545455
GO:0050867	GO:0010720	0.257142857142857
GO:0007610	GO:0050890	0.36986301369863
GO:0140972	GO:0140970	0.9
GO:2001056	GO:0140970	0.384615384615385
GO:0141084	GO:0140970	0.5625
GO:0003018	GO:0035150	0.653061224489796
GO:0008217	GO:0035150	0.258620689655172
GO:0003018	GO:0035296	0.653061224489796
GO:0008217	GO:0035296	0.258620689655172
