source	target	weight
GO:0006119	GO:0019646	0.492957746478873
GO:0006119	GO:0042773	0.583333333333333
GO:0019646	GO:0042773	0.813953488372093
GO:0006119	GO:0042775	0.583333333333333
GO:0019646	GO:0042775	0.813953488372093
GO:0042773	GO:0042775	1
GO:0006119	GO:0015986	0.48
GO:0042773	GO:0015986	0.257575757575758
GO:0042775	GO:0015986	0.257575757575758
GO:0006119	GO:0042776	0.48
GO:0042773	GO:0042776	0.257575757575758
GO:0042775	GO:0042776	0.257575757575758
GO:0015986	GO:0042776	1
GO:0006119	GO:0009060	0.80952380952381
GO:0019646	GO:0009060	0.432098765432099
GO:0042773	GO:0009060	0.476190476190476
GO:0042775	GO:0009060	0.476190476190476
GO:0015986	GO:0009060	0.423529411764706
GO:0042776	GO:0009060	0.423529411764706
GO:0006119	GO:0022904	0.488636363636364
GO:0019646	GO:0022904	0.583333333333333
GO:0042773	GO:0022904	0.716666666666667
GO:0042775	GO:0022904	0.716666666666667
GO:0009060	GO:0022904	0.41
GO:0006119	GO:0033108	0.333333333333333
GO:0015986	GO:0033108	0.435483870967742
GO:0042776	GO:0033108	0.435483870967742
GO:0009060	GO:0033108	0.3
GO:0006119	GO:0010257	0.342105263157895
GO:0015986	GO:0010257	0.543478260869565
GO:0042776	GO:0010257	0.543478260869565
GO:0009060	GO:0010257	0.302325581395349
GO:0033108	GO:0010257	0.63265306122449
GO:0006119	GO:0032981	0.342105263157895
GO:0015986	GO:0032981	0.543478260869565
GO:0042776	GO:0032981	0.543478260869565
GO:0009060	GO:0032981	0.302325581395349
GO:0033108	GO:0032981	0.63265306122449
GO:0010257	GO:0032981	1
GO:0006119	GO:0022900	0.530120481927711
GO:0019646	GO:0022900	0.625
GO:0042773	GO:0022900	0.767857142857143
GO:0042775	GO:0022900	0.767857142857143
GO:0015986	GO:0022900	0.28
GO:0042776	GO:0022900	0.28
GO:0009060	GO:0022900	0.442105263157895
GO:0022904	GO:0022900	0.870967741935484
GO:0006119	GO:0045333	0.657407407407407
GO:0019646	GO:0045333	0.324074074074074
GO:0042773	GO:0045333	0.398148148148148
GO:0042775	GO:0045333	0.398148148148148
GO:0015986	GO:0045333	0.37037037037037
GO:0042776	GO:0045333	0.37037037037037
GO:0009060	GO:0045333	0.75
GO:0022904	GO:0045333	0.486725663716814
GO:0033108	GO:0045333	0.266129032258065
GO:0022900	GO:0045333	0.504587155963303
GO:0006119	GO:0009141	0.35042735042735
GO:0015986	GO:0009141	0.395604395604396
GO:0042776	GO:0009141	0.395604395604396
GO:0009060	GO:0009141	0.344
GO:0033108	GO:0009141	0.259259259259259
GO:0010257	GO:0009141	0.268817204301075
GO:0032981	GO:0009141	0.268817204301075
GO:0045333	GO:0009141	0.291390728476821
GO:0006119	GO:0046034	0.41
GO:0015986	GO:0046034	0.486486486486487
GO:0042776	GO:0046034	0.486486486486487
GO:0009060	GO:0046034	0.398148148148148
GO:0033108	GO:0046034	0.307692307692308
GO:0010257	GO:0046034	0.328947368421053
GO:0032981	GO:0046034	0.328947368421053
GO:0045333	GO:0046034	0.328358208955224
GO:0009141	GO:0046034	0.804597701149425
GO:0015986	GO:0019693	0.262135922330097
GO:0042776	GO:0019693	0.262135922330097
GO:0009141	GO:0019693	0.580357142857143
GO:0046034	GO:0019693	0.553398058252427
GO:0006986	GO:0034976	0.318181818181818
GO:0032543	GO:0140053	0.893939393939394
GO:0045047	GO:0072599	1
GO:0006986	GO:0035967	0.611111111111111
GO:0019674	GO:0019320	0.310344827586207
GO:0046034	GO:0006090	0.291139240506329
GO:0019693	GO:0006090	0.28421052631579
GO:0019674	GO:0006090	0.285714285714286
GO:0019320	GO:0006090	0.371428571428571
GO:0045104	GO:0045103	1
GO:0045104	GO:0030216	0.272727272727273
GO:0045103	GO:0030216	0.272727272727273
GO:0019674	GO:0061615	0.32
GO:0019320	GO:0061615	0.6875
GO:0006090	GO:0061615	0.34375
GO:0019674	GO:0046184	0.333333333333333
GO:0046364	GO:0046184	0.294117647058824
GO:0097193	GO:2001243	0.418604651162791
GO:0022613	GO:0006364	0.533333333333333
