source	target	weight
GO:0002009	GO:0048729	0.727272727272727
GO:2000147	GO:0040017	0.981308411214953
GO:2000147	GO:0030335	0.971428571428571
GO:0040017	GO:0030335	0.953271028037383
GO:0030036	GO:0030029	0.904411764705882
GO:0002009	GO:0001763	0.422222222222222
GO:0048729	GO:0001763	0.308943089430894
GO:0030855	GO:0008544	0.296703296703297
GO:0030036	GO:0097435	0.493670886075949
GO:0030029	GO:0097435	0.470238095238095
GO:0050673	GO:0008285	0.283870967741935
GO:0034330	GO:0034329	0.462585034013605
GO:0032787	GO:0019693	0.273255813953488
GO:0006812	GO:0034220	0.658227848101266
GO:0001817	GO:0006954	0.290816326530612
GO:0001817	GO:0002683	0.272727272727273
GO:0032787	GO:0009150	0.286585365853659
GO:0019693	GO:0009150	0.917525773195876
GO:2000147	GO:0006935	0.263157894736842
GO:0040017	GO:0006935	0.276315789473684
GO:0030335	GO:0006935	0.26
GO:0050900	GO:0006935	0.418032786885246
GO:2000147	GO:0042330	0.263157894736842
GO:0040017	GO:0042330	0.276315789473684
GO:0030335	GO:0042330	0.26
GO:0050900	GO:0042330	0.418032786885246
GO:0006935	GO:0042330	1
GO:0030198	GO:0045229	1
GO:0032989	GO:0097485	0.422413793103448
GO:0019693	GO:0006091	0.329479768786127
GO:0009150	GO:0006091	0.305882352941176
GO:0048568	GO:0001701	0.290909090909091
GO:2000147	GO:0001667	0.312925170068027
GO:0040017	GO:0001667	0.317567567567568
GO:0030335	GO:0001667	0.319444444444444
GO:0019693	GO:0046034	0.56701030927835
GO:0009150	GO:0046034	0.617977528089888
GO:0006091	GO:0046034	0.333333333333333
GO:0006091	GO:0006119	0.37593984962406
GO:0046034	GO:0006119	0.296296296296296
GO:0050900	GO:0030595	0.546511627906977
GO:0006935	GO:0030595	0.540229885057471
GO:0042330	GO:0030595	0.540229885057471
GO:0098609	GO:0007162	0.253012048192771
GO:0008544	GO:0098773	0.5
GO:0007589	GO:0050878	0.452380952380952
GO:0060485	GO:0048863	0.319444444444444
GO:0044057	GO:0006936	0.327102803738318
GO:0061061	GO:0060537	0.357142857142857
GO:0007507	GO:0060537	0.326530612244898
GO:0051336	GO:0052547	0.5
GO:0021700	GO:0071695	0.767857142857143
GO:0002683	GO:0002521	0.26875
GO:0061061	GO:0042692	0.647058823529412
GO:0060537	GO:0042692	0.264705882352941
GO:0098609	GO:0045785	0.282296650717703
GO:0033993	GO:0014070	0.383458646616541
GO:2000147	GO:0090130	0.27906976744186
