source	target	weight
GO:0043269	GO:1903522	0.284313725490196
GO:0008015	GO:1903522	0.5
GO:0043269	GO:0070588	0.483870967741935
GO:0043269	GO:0006816	0.561224489795918
GO:1903522	GO:0006816	0.254901960784314
GO:0070588	GO:0006816	0.8
GO:0043269	GO:0034220	0.439716312056738
GO:0070588	GO:0034220	0.48
GO:0006816	GO:0034220	0.449275362318841
GO:0099177	GO:0099537	0.838095238095238
GO:0008015	GO:0035150	0.377358490566038
GO:1903522	GO:0035150	0.291666666666667
GO:0008015	GO:0035296	0.377358490566038
GO:1903522	GO:0035296	0.291666666666667
GO:0035150	GO:0035296	1
GO:0008015	GO:0097746	0.377358490566038
GO:1903522	GO:0097746	0.291666666666667
GO:0035150	GO:0097746	1
GO:0035296	GO:0097746	1
GO:0043269	GO:1903169	0.423076923076923
GO:0070588	GO:1903169	0.55
GO:0006816	GO:1903169	0.44
GO:0034220	GO:1903169	0.264
GO:0043269	GO:0034762	0.5
GO:0070588	GO:0034762	0.361111111111111
GO:0006816	GO:0034762	0.327868852459016
GO:0034220	GO:0034762	0.376623376623377
GO:1903169	GO:0034762	0.379310344827586
GO:0071715	GO:0050482	0.5
GO:0071715	GO:1903963	0.5
GO:0050482	GO:1903963	1
GO:0043269	GO:0097553	0.326086956521739
GO:0070588	GO:0097553	0.552238805970149
GO:0006816	GO:0097553	0.451219512195122
GO:0034220	GO:0097553	0.290076335877863
GO:1903169	GO:0097553	0.4
GO:0034762	GO:0097553	0.297029702970297
