"Gene"	"IS01"	"IS02"	"State"	"MaxFC"	"InitialState"
"Atrnl1"	"Atrnl1"	0.927551408642668	-0.927551408642668	"S01"	0.927551408642668	"IS01"
"Batf3"	"Batf3"	0.918951878706858	-0.918951878706858	"S01"	0.918951878706858	"IS01"
"Vrk2"	"Vrk2"	0.918295064331852	-0.918295064331852	"S01"	0.918295064331852	"IS01"
"Rap1gap2"	"Rap1gap2"	0.918135833388124	-0.918135833388124	"S01"	0.918135833388124	"IS01"
"Racgap1"	"Racgap1"	0.914274210922878	-0.914274210922878	"S01"	0.914274210922878	"IS01"
"Usp1"	"Usp1"	0.912761935061043	-0.912761935061043	"S01"	0.912761935061043	"IS01"
"Svil"	"Svil"	0.911276567575527	-0.911276567575527	"S01"	0.911276567575527	"IS01"
"Hnrnpul1"	"Hnrnpul1"	0.907529810159803	-0.907529810159803	"S01"	0.907529810159803	"IS01"
"Cdc16"	"Cdc16"	0.90656802294911	-0.90656802294911	"S01"	0.90656802294911	"IS01"
"Depdc1b"	"Depdc1b"	0.90616696584752	-0.90616696584752	"S01"	0.90616696584752	"IS01"
"Ndnf"	"Ndnf"	0.90463164914959	-0.90463164914959	"S01"	0.90463164914959	"IS01"
"Lmf1"	"Lmf1"	0.896651826827212	-0.896651826827212	"S01"	0.896651826827212	"IS01"
"Prkd3"	"Prkd3"	0.893092524887658	-0.893092524887658	"S01"	0.893092524887658	"IS01"
"Nav1"	"Nav1"	0.892578464371408	-0.892578464371408	"S01"	0.892578464371408	"IS01"
"Tsix"	"Tsix"	0.89099700611329	-0.89099700611329	"S01"	0.89099700611329	"IS01"
"E230016K23Rik"	"E230016K23Rik"	0.889920181681034	-0.889920181681034	"S01"	0.889920181681034	"IS01"
"Plk4"	"Plk4"	0.888505162266337	-0.888505162266337	"S01"	0.888505162266337	"IS01"
"Efhd2"	"Efhd2"	0.886862358373012	-0.886862358373012	"S01"	0.886862358373012	"IS01"
"Bard1"	"Bard1"	0.886673872525782	-0.886673872525782	"S01"	0.886673872525782	"IS01"
"Gm15261"	"Gm15261"	0.886557358926457	-0.886557358926457	"S01"	0.886557358926457	"IS01"
"Kif15"	"Kif15"	0.881417552686057	-0.881417552686057	"S01"	0.881417552686057	"IS01"
"Brip1"	"Brip1"	0.881376425123426	-0.881376425123426	"S01"	0.881376425123426	"IS01"
"Nemp1"	"Nemp1"	0.879941544039285	-0.879941544039285	"S01"	0.879941544039285	"IS01"
"Itpr1"	"Itpr1"	0.877556392422872	-0.877556392422872	"S01"	0.877556392422872	"IS01"
"Gm32511"	"Gm32511"	0.874491603734643	-0.874491603734643	"S01"	0.874491603734643	"IS01"
"Hepacam2"	"Hepacam2"	0.874207360846528	-0.874207360846528	"S01"	0.874207360846528	"IS01"
"Fbxo5"	"Fbxo5"	0.873704142511063	-0.873704142511063	"S01"	0.873704142511063	"IS01"
"Arhgap6"	"Arhgap6"	0.873668413858402	-0.873668413858402	"S01"	0.873668413858402	"IS01"
"Lmnb1"	"Lmnb1"	0.869827114317249	-0.869827114317249	"S01"	0.869827114317249	"IS01"
"Gas2l3"	"Gas2l3"	0.869736321906442	-0.869736321906442	"S01"	0.869736321906442	"IS01"
"Cdk14"	"Cdk14"	0.864870256054674	-0.864870256054674	"S01"	0.864870256054674	"IS01"
"Pde8a"	"Pde8a"	0.861370879960098	-0.861370879960098	"S01"	0.861370879960098	"IS01"
"Atad2"	"Atad2"	0.859147729218944	-0.859147729218944	"S01"	0.859147729218944	"IS01"
"Rad51b"	"Rad51b"	0.859146473659174	-0.859146473659174	"S01"	0.859146473659174	"IS01"
"Kif4"	"Kif4"	0.859043245231619	-0.859043245231619	"S01"	0.859043245231619	"IS01"
"Cip2a"	"Cip2a"	0.857265628445595	-0.857265628445595	"S01"	0.857265628445595	"IS01"
"Gramd4"	"Gramd4"	0.852355963530427	-0.852355963530427	"S01"	0.852355963530427	"IS01"
"Foxn2"	"Foxn2"	0.850202572838172	-0.850202572838172	"S01"	0.850202572838172	"IS01"
"9530059O14Rik"	"9530059O14Rik"	0.847562788236347	-0.847562788236347	"S01"	0.847562788236347	"IS01"
"Apaf1"	"Apaf1"	0.84507416002348	-0.84507416002348	"S01"	0.84507416002348	"IS01"
"Plcl1"	"Plcl1"	0.841168200513232	-0.841168200513232	"S01"	0.841168200513232	"IS01"
"St3gal5"	"St3gal5"	0.840208745942599	-0.840208745942599	"S01"	0.840208745942599	"IS01"
"Vkorc1l1"	"Vkorc1l1"	0.84004662904323	-0.84004662904323	"S01"	0.84004662904323	"IS01"
"C2cd3"	"C2cd3"	0.832469333685685	-0.832469333685685	"S01"	0.832469333685685	"IS01"
"Hr"	"Hr"	0.830050874389327	-0.830050874389327	"S01"	0.830050874389327	"IS01"
"Gm26724"	"Gm26724"	0.829623106319055	-0.829623106319055	"S01"	0.829623106319055	"IS01"
"Nedd4l"	"Nedd4l"	0.828569788394822	-0.828569788394822	"S01"	0.828569788394822	"IS01"
"Numa1"	"Numa1"	0.827309023210039	-0.827309023210039	"S01"	0.827309023210039	"IS01"
"Hyal5"	"Hyal5"	0.825560198669016	-0.825560198669016	"S01"	0.825560198669016	"IS01"
"Fes"	"Fes"	0.824131040497136	-0.824131040497136	"S01"	0.824131040497136	"IS01"
"Dbf4"	"Dbf4"	0.820721722306948	-0.820721722306948	"S01"	0.820721722306948	"IS01"
"Naip6"	"Naip6"	0.820570201585289	-0.820570201585289	"S01"	0.820570201585289	"IS01"
"Tubgcp3"	"Tubgcp3"	0.818770489350181	-0.818770489350181	"S01"	0.818770489350181	"IS01"
"Kcnq1"	"Kcnq1"	0.817726763861051	-0.817726763861051	"S01"	0.817726763861051	"IS01"
"Pid1"	"Pid1"	0.815185755821452	-0.815185755821452	"S01"	0.815185755821452	"IS01"
"Plxdc2"	"Plxdc2"	0.812761849796558	-0.812761849796558	"S01"	0.812761849796558	"IS01"
"Fanca"	"Fanca"	0.809649259747208	-0.809649259747208	"S01"	0.809649259747208	"IS01"
"Nemp2"	"Nemp2"	0.807344097121292	-0.807344097121292	"S01"	0.807344097121292	"IS01"
"Chn2"	"Chn2"	0.806935219620707	-0.806935219620707	"S01"	0.806935219620707	"IS01"
"Ncaph"	"Ncaph"	0.80508997072855	-0.80508997072855	"S01"	0.80508997072855	"IS01"
"Ibtk"	"Ibtk"	0.804985701518289	-0.804985701518289	"S01"	0.804985701518289	"IS01"
"Fcrls"	"Fcrls"	0.804468716225155	-0.804468716225155	"S01"	0.804468716225155	"IS01"
"Nusap1"	"Nusap1"	0.803702882505692	-0.803702882505692	"S01"	0.803702882505692	"IS01"
"Pds5a"	"Pds5a"	0.801905357512521	-0.801905357512521	"S01"	0.801905357512521	"IS01"
"Dna2"	"Dna2"	0.801558508718239	-0.801558508718239	"S01"	0.801558508718239	"IS01"
"Fam168a"	"Fam168a"	0.801558301779601	-0.801558301779601	"S01"	0.801558301779601	"IS01"
"Dexi"	"Dexi"	0.800654957766849	-0.800654957766849	"S01"	0.800654957766849	"IS01"
"Grk3"	"Grk3"	0.797900795962602	-0.797900795962602	"S01"	0.797900795962602	"IS01"
"Ank"	"Ank"	0.797775322816403	-0.797775322816403	"S01"	0.797775322816403	"IS01"
"Srsf3"	"Srsf3"	0.796087294829061	-0.796087294829061	"S01"	0.796087294829061	"IS01"
"Rad51"	"Rad51"	0.793650722811913	-0.793650722811913	"S01"	0.793650722811913	"IS01"
"Fgr"	"Fgr"	0.789470581491752	-0.789470581491752	"S01"	0.789470581491752	"IS01"
"Ahcyl2"	"Ahcyl2"	0.78655179551478	-0.78655179551478	"S01"	0.78655179551478	"IS01"
"Insyn2a"	"Insyn2a"	0.786298851857668	-0.786298851857668	"S01"	0.786298851857668	"IS01"
"Ccdc69"	"Ccdc69"	0.783923551599677	-0.783923551599677	"S01"	0.783923551599677	"IS01"
"Asxl1"	"Asxl1"	0.782920054448487	-0.782920054448487	"S01"	0.782920054448487	"IS01"
"Dpep2"	"Dpep2"	0.782478761947168	-0.782478761947168	"S01"	0.782478761947168	"IS01"
"Cenph"	"Cenph"	0.779738697165076	-0.779738697165076	"S01"	0.779738697165076	"IS01"
"Zfp81"	"Zfp81"	0.778654343834725	-0.778654343834725	"S01"	0.778654343834725	"IS01"
"Slc9a4"	"Slc9a4"	0.777119263918535	-0.777119263918535	"S01"	0.777119263918535	"IS01"
"Uhrf2"	"Uhrf2"	0.776609396637624	-0.776609396637624	"S01"	0.776609396637624	"IS01"
"Vav3"	"Vav3"	0.773639607320412	-0.773639607320412	"S01"	0.773639607320412	"IS01"
"Cdca2"	"Cdca2"	0.770127941191338	-0.770127941191338	"S01"	0.770127941191338	"IS01"
"5830432E09Rik"	"5830432E09Rik"	0.768013432308472	-0.768013432308472	"S01"	0.768013432308472	"IS01"
"Arl6ip6"	"Arl6ip6"	0.767567483367806	-0.767567483367806	"S01"	0.767567483367806	"IS01"
"2700099C18Rik"	"2700099C18Rik"	0.767509677633424	-0.767509677633424	"S01"	0.767509677633424	"IS01"
"Tmem154"	"Tmem154"	0.76631977933293	-0.76631977933293	"S01"	0.76631977933293	"IS01"
"Iqgap3"	"Iqgap3"	0.765520867406118	-0.765520867406118	"S01"	0.765520867406118	"IS01"
"Aqp9"	"Aqp9"	0.765227563995602	-0.765227563995602	"S01"	0.765227563995602	"IS01"
"Csf2ra"	"Csf2ra"	0.761553060859694	-0.761553060859694	"S01"	0.761553060859694	"IS01"
"Mcm3"	"Mcm3"	0.761338640888209	-0.761338640888209	"S01"	0.761338640888209	"IS01"
"Map2k6"	"Map2k6"	0.760855056518759	-0.760855056518759	"S01"	0.760855056518759	"IS01"
"Sp3"	"Sp3"	0.759170536333567	-0.759170536333567	"S01"	0.759170536333567	"IS01"
"Soga1"	"Soga1"	0.758832894540125	-0.758832894540125	"S01"	0.758832894540125	"IS01"
"Frrs1"	"Frrs1"	0.757943664987998	-0.757943664987998	"S01"	0.757943664987998	"IS01"
"Scmh1"	"Scmh1"	0.754556436328161	-0.754556436328161	"S01"	0.754556436328161	"IS01"
"Ube2t"	"Ube2t"	0.753831819735256	-0.753831819735256	"S01"	0.753831819735256	"IS01"
"Ezh2"	"Ezh2"	0.753037949368717	-0.753037949368717	"S01"	0.753037949368717	"IS01"
"Rcc1"	"Rcc1"	0.750007432724864	-0.750007432724864	"S01"	0.750007432724864	"IS01"
"Me2"	"Me2"	0.749269455550999	-0.749269455550999	"S01"	0.749269455550999	"IS01"
"Cct5"	"Cct5"	0.748153035310159	-0.748153035310159	"S01"	0.748153035310159	"IS01"
"Gm44511"	"Gm44511"	0.746113876390492	-0.746113876390492	"S01"	0.746113876390492	"IS01"
"Gm4258"	"Gm4258"	0.745409850928365	-0.745409850928365	"S01"	0.745409850928365	"IS01"
"Dlgap5"	"Dlgap5"	0.74513676014394	-0.74513676014394	"S01"	0.74513676014394	"IS01"
"Sae1"	"Sae1"	0.744891579651643	-0.744891579651643	"S01"	0.744891579651643	"IS01"
"Cass4"	"Cass4"	0.74176934429113	-0.74176934429113	"S01"	0.74176934429113	"IS01"
"BC035044"	"BC035044"	0.741680409830717	-0.741680409830717	"S01"	0.741680409830717	"IS01"
"Tnfrsf21"	"Tnfrsf21"	0.741385908926972	-0.741385908926972	"S01"	0.741385908926972	"IS01"
"Ctdspl2"	"Ctdspl2"	0.740752929998338	-0.740752929998338	"S01"	0.740752929998338	"IS01"
"H2-DMb1"	"H2-DMb1"	0.738664636501319	-0.738664636501319	"S01"	0.738664636501319	"IS01"
"Aldh1a2"	"Aldh1a2"	0.736844171092878	-0.736844171092878	"S01"	0.736844171092878	"IS01"
"Rnaseh2b"	"Rnaseh2b"	0.73646154302732	-0.73646154302732	"S01"	0.73646154302732	"IS01"
"Tacc1"	"Tacc1"	0.735399453401593	-0.735399453401593	"S01"	0.735399453401593	"IS01"
"Med14"	"Med14"	0.734909067114912	-0.734909067114912	"S01"	0.734909067114912	"IS01"
"Zgrf1"	"Zgrf1"	0.73349232010994	-0.73349232010994	"S01"	0.73349232010994	"IS01"
"Orc5"	"Orc5"	0.733265541435808	-0.733265541435808	"S01"	0.733265541435808	"IS01"
"Atad5"	"Atad5"	0.733219600800584	-0.733219600800584	"S01"	0.733219600800584	"IS01"
"Depdc7"	"Depdc7"	0.73264678691696	-0.73264678691696	"S01"	0.73264678691696	"IS01"
"Wrn"	"Wrn"	0.73220236976536	-0.73220236976536	"S01"	0.73220236976536	"IS01"
"Mcm5"	"Mcm5"	0.731638581793566	-0.731638581793566	"S01"	0.731638581793566	"IS01"
"Pard3bos1"	"Pard3bos1"	0.731487509371485	-0.731487509371485	"S01"	0.731487509371485	"IS01"
"Hmga2"	"Hmga2"	0.731400602176724	-0.731400602176724	"S01"	0.731400602176724	"IS01"
"Rccd1"	"Rccd1"	0.73066091397448	-0.73066091397448	"S01"	0.73066091397448	"IS01"
"Il7"	"Il7"	0.730307940545034	-0.730307940545034	"S01"	0.730307940545034	"IS01"
"Trerf1"	"Trerf1"	0.730288091638358	-0.730288091638358	"S01"	0.730288091638358	"IS01"
"Gm43361"	"Gm43361"	0.729858503839038	-0.729858503839038	"S01"	0.729858503839038	"IS01"
"Cep57l1"	"Cep57l1"	0.729615610012632	-0.729615610012632	"S01"	0.729615610012632	"IS01"
"Zbtb8a"	"Zbtb8a"	0.729513671567791	-0.729513671567791	"S01"	0.729513671567791	"IS01"
"Wdr76"	"Wdr76"	0.729069516546954	-0.729069516546954	"S01"	0.729069516546954	"IS01"
"Megf11"	"Megf11"	0.728946616981771	-0.728946616981771	"S01"	0.728946616981771	"IS01"
"Gm41307"	"Gm41307"	0.728368620240088	-0.728368620240088	"S01"	0.728368620240088	"IS01"
"Far1"	"Far1"	0.728214430612395	-0.728214430612395	"S01"	0.728214430612395	"IS01"
"Skint3"	"Skint3"	0.727897984224319	-0.727897984224319	"S01"	0.727897984224319	"IS01"
"Ift80"	"Ift80"	0.727811457626346	-0.727811457626346	"S01"	0.727811457626346	"IS01"
"Clec2g"	"Clec2g"	0.727793644531322	-0.727793644531322	"S01"	0.727793644531322	"IS01"
"Tnip3"	"Tnip3"	0.726064544034322	-0.726064544034322	"S01"	0.726064544034322	"IS01"
"Anp32b"	"Anp32b"	0.726056882624785	-0.726056882624785	"S01"	0.726056882624785	"IS01"
"Oxct1"	"Oxct1"	0.72581132212441	-0.72581132212441	"S01"	0.72581132212441	"IS01"
"Nup160"	"Nup160"	0.724763054656047	-0.724763054656047	"S01"	0.724763054656047	"IS01"
"Mbd4"	"Mbd4"	0.722855808896372	-0.722855808896372	"S01"	0.722855808896372	"IS01"
"Cntln"	"Cntln"	0.722434467241041	-0.722434467241041	"S01"	0.722434467241041	"IS01"
"Ero1b"	"Ero1b"	0.722170959220396	-0.722170959220396	"S01"	0.722170959220396	"IS01"
"5430427M07Rik"	"5430427M07Rik"	0.721970975865161	-0.721970975865161	"S01"	0.721970975865161	"IS01"
"Plekhg3"	"Plekhg3"	0.721357988393692	-0.721357988393692	"S01"	0.721357988393692	"IS01"
"Hnrnpu"	"Hnrnpu"	0.720541877548621	-0.720541877548621	"S01"	0.720541877548621	"IS01"
"Clec4b1"	"Clec4b1"	0.71824770238561	-0.71824770238561	"S01"	0.71824770238561	"IS01"
"Knstrn"	"Knstrn"	0.717111023046433	-0.717111023046433	"S01"	0.717111023046433	"IS01"
"Ogn"	"Ogn"	0.716241541849214	-0.716241541849214	"S01"	0.716241541849214	"IS01"
"Septin11"	"Septin11"	0.715868236231249	-0.715868236231249	"S01"	0.715868236231249	"IS01"
"Usp37"	"Usp37"	0.715297149436482	-0.715297149436482	"S01"	0.715297149436482	"IS01"
"Ipo9"	"Ipo9"	0.714847487513946	-0.714847487513946	"S01"	0.714847487513946	"IS01"
"D130019J16Rik"	"D130019J16Rik"	0.714595359114852	-0.714595359114852	"S01"	0.714595359114852	"IS01"
"Slc16a4"	"Slc16a4"	0.709302140211773	-0.709302140211773	"S01"	0.709302140211773	"IS01"
"Nlrp1c-ps"	"Nlrp1c-ps"	0.706957189714178	-0.706957189714178	"S01"	0.706957189714178	"IS01"
"Pkp4"	"Pkp4"	0.704558986642598	-0.704558986642598	"S01"	0.704558986642598	"IS01"
"Adk"	"Adk"	0.700882280570201	-0.700882280570201	"S01"	0.700882280570201	"IS01"
"Rad18"	"Rad18"	0.700171822566586	-0.700171822566586	"S01"	0.700171822566586	"IS01"
"Nin"	"Nin"	0.699483673716399	-0.699483673716399	"S01"	0.699483673716399	"IS01"
"Pank2"	"Pank2"	0.698421754938311	-0.698421754938311	"S01"	0.698421754938311	"IS01"
"Thsd4"	"Thsd4"	0.694124742623611	-0.694124742623611	"S01"	0.694124742623611	"IS01"
"Rbbp8"	"Rbbp8"	0.691122296589579	-0.691122296589579	"S01"	0.691122296589579	"IS01"
"Dleu2"	"Dleu2"	0.691047697157571	-0.691047697157571	"S01"	0.691047697157571	"IS01"
"Angel2"	"Angel2"	0.690863894965689	-0.690863894965689	"S01"	0.690863894965689	"IS01"
"Nfyb"	"Nfyb"	0.689147691250858	-0.689147691250858	"S01"	0.689147691250858	"IS01"
"Rab7b"	"Rab7b"	0.686568869258161	-0.686568869258161	"S01"	0.686568869258161	"IS01"
