"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"State"	"MaxFC"	"InitialState"
"Thsd4"	"Thsd4"	-0.463287459466797	-0.274341397125674	1.57308885437207	-0.324999984546696	-0.383356204453062	-0.226772066254364	0.435516713663951	"S01"	1.57308885437207	"IS03"
"Aqp9"	"Aqp9"	-0.509416955972727	-0.381429105944557	1.54737391230042	-0.395563584564541	-0.418010293932963	-0.0918550880461896	0.571075222162913	"S01"	1.54737391230042	"IS03"
"Aldh1a2"	"Aldh1a2"	-0.41511094408038	-0.270262311103566	1.51098967888947	-0.311211550312497	-0.308131121728136	-0.129675367858182	0.222145618468081	"S01"	1.51098967888947	"IS03"
"Gm45238"	"Gm45238"	-0.373047276138267	-0.325646911971972	1.48197107162836	-0.129071014703968	-0.322646064963416	-0.252258518247403	0.145293617848726	"S01"	1.48197107162836	"IS03"
"Gm32511"	"Gm32511"	-0.290513344149629	-0.25322214917254	1.45261704680569	-0.183562715753357	-0.314082135735798	-0.290785941735397	0.1176831483698	"S01"	1.45261704680569	"IS03"
"Fn1"	"Fn1"	-0.578107796349836	-0.431590969321124	1.42062427297792	-0.478399919982906	-0.585067739646075	0.00415314000245321	1.03175992897266	"S01"	1.42062427297792	"IS03"
"Skint3"	"Skint3"	-0.483093096027659	-0.393382663913147	1.37106990743722	-0.504355457606792	-0.497236984018522	-0.266561341903392	1.07621841589784	"S01"	1.37106990743722	"IS03"
"Lyz1"	"Lyz1"	-0.43219423617136	-0.340032996207759	1.34077340281076	-0.325016541707192	-0.44674694519169	-0.103761599323812	0.608866412471257	"S01"	1.34077340281076	"IS03"
"Socs6"	"Socs6"	-0.469763074029079	-0.0541316256674134	1.3378380043257	-0.212598109946223	-0.471172648035401	-0.286479961881929	0.604388996512043	"S01"	1.3378380043257	"IS03"
"E230016K23Rik"	"E230016K23Rik"	-0.376734127626616	-0.131693314429506	1.3113858187968	-0.0436703476150687	-0.384231209512552	-0.405568692140653	0.339047313589436	"S01"	1.3113858187968	"IS03"
"Ptger2"	"Ptger2"	-0.240223705681942	-0.264154423840994	1.21401675246891	-0.24301286344893	-0.270618606631011	-0.136364889929272	0.135546663888526	"S01"	1.21401675246891	"IS03"
"4930512J16Rik"	"4930512J16Rik"	-0.271572117527888	-0.278086702086564	1.21326364107441	-0.279855720631529	-0.262734661579536	-0.0590015211583794	0.143693472371739	"S01"	1.21326364107441	"IS03"
"Ak8"	"Ak8"	-0.517908870844404	-0.197190187957353	1.20002622319917	0.0466512459710276	-0.365826594456495	-0.38742229220344	0.497227243078058	"S01"	1.20002622319917	"IS03"
"Slc9a4"	"Slc9a4"	-0.26669839611502	-0.172490490193759	1.16440466919119	-0.263368590247657	-0.220187776376117	-0.104948382161164	0.0954745415882633	"S01"	1.16440466919119	"IS03"
"Gm41609"	"Gm41609"	-0.228946897906612	-0.232845613116401	1.15095535125444	-0.242347364402871	-0.24748446819117	-0.154393934380243	0.144219389949681	"S01"	1.15095535125444	"IS03"
"Fcrls"	"Fcrls"	-0.228705994233346	0.253454003404544	1.13216841737619	-0.122229987286823	-0.47970626095603	-0.239686456402274	0.223749196808302	"S01"	1.13216841737619	"IS03"
"Ksr1"	"Ksr1"	-0.125449484939802	-0.213661197898638	1.13035094490571	-0.0763684014400521	-0.353404906153664	-0.384845219106496	0.192111183673315	"S01"	1.13035094490571	"IS03"
"Hyal5"	"Hyal5"	-0.2200222311521	-0.211148306861225	1.1121288843847	-0.215712236475441	-0.256545192836388	-0.187432599115951	0.169311617386894	"S01"	1.1121288843847	"IS03"
"Gm30978"	"Gm30978"	-0.310287661222438	-0.308729717122392	1.07562137318073	-0.211115231252372	-0.264530115933489	-0.112398227639698	0.296175168372324	"S01"	1.07562137318073	"IS03"
"Tiam1"	"Tiam1"	-0.535725559433997	-0.281714760651084	1.04177998318414	-0.0372228045358055	-0.407214094695459	-0.335869838224169	0.797457945648973	"S01"	1.04177998318414	"IS03"
"St3gal5"	"St3gal5"	-0.500205515914045	-0.12571665103755	1.03331518361723	-0.220842014089925	-0.386678737037965	-0.12838557707415	0.687484435747096	"S01"	1.03331518361723	"IS03"
"Cfap99"	"Cfap99"	-0.222987009781267	-0.192246002259981	1.03209800206502	-0.215777268125521	-0.211410214580969	-0.0758207308635618	0.0738021627811256	"S01"	1.03209800206502	"IS03"
"Batf3"	"Batf3"	-0.119177814187605	-0.335824243586399	1.0213790095459	-0.253967448774993	-0.555208785957089	-0.325206925074284	0.759496253480888	"S01"	1.0213790095459	"IS03"
"Kcnq1"	"Kcnq1"	-0.398891701293574	-0.169225519152982	1.01896669912189	0.0501209556376959	-0.136229202017789	-0.484586240062511	0.246808744332915	"S01"	1.01896669912189	"IS03"
"Nlrp1b"	"Nlrp1b"	-0.0138450039583392	-0.391545612281396	1.0129713928468	-0.358380951083162	-0.472686881617079	-0.362960894037598	0.689331673097074	"S01"	1.0129713928468	"IS03"
"Gm15987"	"Gm15987"	-0.736943721918724	-0.176229152347331	0.995036135361418	0.275423953288678	-0.420283321246466	-0.458540269703912	0.824059754615421	"S01"	0.995036135361418	"IS03"
"Fam78b"	"Fam78b"	-0.261699421116253	-0.305887348653789	0.984552386917746	-0.226631888350791	-0.334046979519976	-0.242500079796203	0.540199822686632	"S01"	0.984552386917746	"IS03"
"Plxna4"	"Plxna4"	0.303392663435741	-0.384139320765277	0.96639145285819	-0.349022699056267	-0.523330448612186	-0.317129097077481	0.355141307219426	"S01"	0.96639145285819	"IS03"
"Gm45237"	"Gm45237"	-0.248524874826403	-0.134675591487749	0.958030032249551	0.109399727746762	-0.206324772248363	-0.160475751264284	-0.145578631581935	"S01"	0.958030032249551	"IS03"
"Ahcyl2"	"Ahcyl2"	-0.267050040767619	-0.0322203308868863	0.9371837024591	-0.0268196349256477	-0.493928433961336	-0.524698507453525	0.72128309693831	"S01"	0.9371837024591	"IS03"
